Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
ENCODE_TF_ChIP-seq_2015,FOXA1 HepG2 hg19,1/2272,0.9992846450431244,0.999996435495596,0,0,0.1318690340251811,9.436692409741252e-05,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,CUX1 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,MXI1 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,EP300 HepG2 hg19,1/3119,0.9999593376770898,0.999996435495596,0,0,0.0914427979691458,3.718352177766527e-06,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,MAX GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,CTCF MCF-7 hg19,1/5540,0.9999963912072292,0.999996435495596,0,0,0.0440665726237067,1.5902741566378214e-07,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,MYBL2 HepG2 hg19,1/1595,0.9932210685190735,0.999996435495596,0,0,0.1950747506539353,0.0013269009523155,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,RAD21 HCT116 hg19,1/1973,0.998050291430172,0.999996435495596,0,0,0.1544332519682332,0.0003013937453817763,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,EZH2 myotube hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,MBD4 HepG2 hg19,1/1809,0.996641956347927,0.999996435495596,0,0,0.1699790010499475,0.0005717574368644075,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,MAFF HepG2 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,CTCF NB4 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,BHLHE40 GM12878 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
ENCODE_TF_ChIP-seq_2015,SMC3 HepG2 hg19,1/2000,0.9982180044299293,0.999996435495596,0,0,0.1521184320974046,0.00027131618610583947,AAA1,ENCODE TF ChIP-seq
DisGeNET,Neuropathy,1/284,0.5765765879754354,0.9999964495958694,0,0,1.1772773552135114,0.6482643594046024,AAA1,DisGeNET
DisGeNET,Hematologic Neoplasms,1/557,0.8168123228765047,0.9999964495958694,0,0,0.5909035483477625,0.1195669253551732,AAA1,DisGeNET
DisGeNET,"Aortic Aneurysm, Abdominal",1/288,0.5817077525789011,0.9999964495958694,0,0,1.160633083328412,0.6288160331954461,AAA1,DisGeNET
DisGeNET,Liver carcinoma,1/3593,0.999989996181316,0.9999964495958694,0,0,0.0771394058359442,7.716924893158246e-07,AAA1,DisGeNET
DisGeNET,Myopathy,1/415,0.716338623041018,0.9999964495958694,0,0,0.7993940882666012,0.2666796957505878,AAA1,DisGeNET
DisGeNET,Cataract,1/519,0.7940075373029593,0.9999964495958694,0,0,0.6354950592238728,0.1465847678581033,AAA1,DisGeNET
DisGeNET,Vascular Diseases,1/401,0.7038931652692041,0.9999964495958694,0,0,0.8279661016949152,0.2907226511778114,AAA1,DisGeNET
DisGeNET,Primary malignant neoplasm of lung,1/2268,0.9992749190020536,0.9999964495958694,0,0,0.13213161573946,9.584087419948817e-05,AAA1,DisGeNET
DisGeNET,Asthma,1/1313,0.98309859479283,0.9999964495958694,0,0,0.2406469615543613,0.0041020353723378,AAA1,DisGeNET
DisGeNET,Diabetes Mellitus,1/1507,0.990971562276144,0.9999964495958694,0,0,0.207463929592365,0.0018815818797779,AAA1,DisGeNET
DisGeNET,"Leukemia, Myelocytic, Acute",1/1703,0.9952397584902024,0.9999964495958694,0,0,0.1816208249517019,0.0008666232984512711,AAA4,DisGeNET
DisGeNET,Carcinoma of lung,1/2476,0.999641727593778,0.9999964495958694,0,0,0.1196028077384009,4.2858063608648305e-05,AAA1,DisGeNET
DisGeNET,Diabetes,1/1268,0.9804706651204528,0.9999964495958694,0,0,0.2497959948095728,0.0049266145168632,AAA1,DisGeNET
DisGeNET,Chronic Obstructive Airway Disease,1/669,0.8705413555906026,0.9999964495958694,0,0,0.4889881254440272,0.067793320089975,AAA1,DisGeNET
DisGeNET,Psoriasis,1/818,0.9186796661642834,0.9999964495958694,0,0,0.3967180465946103,0.0336487460690701,AAA1,DisGeNET
DisGeNET,Breast Carcinoma,1/4963,0.9999964495958694,0.9999964495958694,0,0,0.0511617103546273,1.8164507022756077e-07,AAA1,DisGeNET
