feature,cindex_deviation
RNA_AAA67,0.11046592008848333
RNA_AAA6,0.07541822203788195
RNA_AAA65,0.07527996681874738
RNA_AAA38,0.07527996681874738
RNA_AAA43,0.07417392506567122
RNA_AAA72,0.07071754458730817
RNA_AAA8,0.0668463984515415
RNA_AAA59,0.066431632794138
RNA_AAA12,0.06629337757500342
RNA_AAA70,0.06622424996543619
RNA_AAA73,0.06615512235586896
RNA_AAA2,0.06518733582192726
RNA_AAA27,0.0650490806027928
RNA_AAA46,0.06491082538365822
RNA_AAA60,0.0626987418775059
RNA_AAA48,0.061869210562698784
RNA_AAA49,0.061316189686160705
RNA_AAA19,0.05730678833125946
RNA_AAA34,0.05647725701645234
RNA_AAA31,0.05606249135904884
RNA_AAA54,0.05592423613991426
RNA_AAA5,0.054818194386838104
RNA_AAA7,0.05246785566155121
RNA_AAA78,0.05177657956587861
RNA_AAA28,0.05053228259366793
RNA_AAA30,0.050324899764966124
RNA_AAA40,0.048596709525784654
RNA_AAA41,0.04845845430665008
RNA_AAA4,0.04804368864924646
RNA_AAA53,0.046661136457901264
RNA_AAA9,0.0465228812387668
RNA_AAA23,0.04624637080049776
RNA_AAA13,0.045278584266556066
RNA_AAA52,0.044449052951748946
RNA_AAA10,0.04334301119867279
RNA_AAA18,0.04320475597953821
RNA_AAA35,0.041269182911654934
RNA_AAA50,0.03843495091939719
RNA_AAA21,0.03822756809069544
RNA_AAA62,0.037951057652426345
RNA_AAA1,0.037398036775888266
RNA_AAA39,0.03615373980367759
RNA_AAA3,0.03560071892713951
RNA_AAA22,0.03449467717406329
RNA_AAA64,0.03421816673579425
RNA_AAA61,0.03394165629752521
RNA_AAA57,0.033250380201852614
RNA_AAA36,0.033250380201852614
RNA_AAA29,0.032559104106180015
RNA_AAA47,0.031453062353103856
RNA_AAA16,0.03103829669570024
RNA_AAA75,0.030347020600027697
RNA_AAA14,0.03034702060002764
RNA_AAA66,0.029240978846951482
RNA_AAA11,0.028964468408682387
RNA_AAA71,0.024678556615512215
RNA_AAA32,0.022881238766763456
RNA_AAA55,0.022328217890225377
RNA_AAA74,0.021360431356283682
RNA_AAA76,0.020116134384073003
