Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039),1/50,0.1567556490806558,0.2313788472956986,0,0,6.0563508985683825,11.222824361971773,CTTN,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Transport (GO:0051050),1/50,0.1567556490806558,0.2313788472956986,0,0,6.0563508985683825,11.222824361971773,MYL1,GO Biological Process
CellMarker_2024,Neutrophil Blood Human,1/49,0.1538717517089819,0.2316919479755935,0,0,6.182835820895522,11.572016896560733,LTF,CellMarker
CellMarker_2024,Smooth Muscle Cell Brain Mouse,1/49,0.1538717517089819,0.2316919479755935,0,0,6.182835820895522,11.572016896560733,ANO1,CellMarker
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),1/51,0.1596298612054366,0.2342188142091674,0,0,5.9349253731343286,10.889979796219908,FADD,GO Biological Process
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),1/51,0.1596298612054366,0.2342188142091674,0,0,5.9349253731343286,10.889979796219908,TRDN,GO Biological Process
Cancer_Cell_Line_Encyclopedia,NCIH1623 LUNG,3/182,0.0241223722948407,0.2349664580641935,0,0,5.093167168027503,18.970089674092613,SPINK6;HORMAD1;TRDN,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,HT1197 URINARY TRACT,3/183,0.0244660555548177,0.2349664580641935,0,0,5.064615384615385,18.792096404643026,SPRR3;UPK1B;KRT24,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Cartilage Development (GO:0051216),1/52,0.1624944201180422,0.2356169091711613,0,0,5.818261633011414,10.572430795578446,FGF4,GO Biological Process
GO_Biological_Process_2023,Regulation Of Proteolysis (GO:0030162),1/52,0.1624944201180422,0.2356169091711613,0,0,5.818261633011414,10.572430795578446,FADD,GO Biological Process
GO_Biological_Process_2023,Cell Cycle G1/S Phase Transition (GO:0044843),1/52,0.1624944201180422,0.2356169091711613,0,0,5.818261633011414,10.572430795578446,CCND1,GO Biological Process
GO_Biological_Process_2023,Fatty Acid Oxidation (GO:0019395),1/52,0.1624944201180422,0.2356169091711613,0,0,5.818261633011414,10.572430795578446,ADH7,GO Biological Process
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),1/53,0.1653493578016362,0.2362818359310338,0,0,5.7060849598163035,10.269210993651246,CCND1,GO Biological Process
