Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),1/31,0.1002682623878204,0.1844487065566994,0,0,9.901492537313432,22.772502698810975,FADD,GO Biological Process
Reactome_2022,Regulation Of Necroptotic Cell Death R-HSA-5675482,1/29,0.0941096218827057,0.1852551611864287,0,0,10.609808102345417,25.074106290081968,FADD,Reactome Pathways
Reactome_2022,Negative Regulation Of FGFR3 Signaling R-HSA-5654732,1/29,0.0941096218827057,0.1852551611864287,0,0,10.609808102345417,25.074106290081968,FGF4,Reactome Pathways
Reactome_2022,Dectin-2 Family R-HSA-5621480,1/29,0.0941096218827057,0.1852551611864287,0,0,10.609808102345417,25.074106290081968,MUC5B,Reactome Pathways
Reactome_2022,Surfactant Metabolism R-HSA-5683826,1/29,0.0941096218827057,0.1852551611864287,0,0,10.609808102345417,25.074106290081968,SLC34A2,Reactome Pathways
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,3/318,0.0940416001751375,0.1852551611864287,0,0,2.874285714285714,6.794863279409771,ACTN2;FGF3;FGF4,Reactome Pathways
Reactome_2022,Paracetamol ADME R-HSA-9753281,1/28,0.0910147445824993,0.1852551611864287,0,0,11.003316749585409,26.372020695020453,GSTM1,Reactome Pathways
GO_Biological_Process_2023,Female Gamete Generation (GO:0007292),1/32,0.103332094120948,0.1866033787605398,0,0,9.581608088589311,21.748403627067045,HORMAD1,GO Biological Process
GO_Biological_Process_2023,Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019),1/32,0.103332094120948,0.1866033787605398,0,0,9.581608088589311,21.748403627067045,SLN,GO Biological Process
GO_Biological_Process_2023,Neural Tube Closure (GO:0001843),1/32,0.103332094120948,0.1866033787605398,0,0,9.581608088589311,21.748403627067045,CSRP3,GO Biological Process
GO_Biological_Process_2023,Histone Lysine Methylation (GO:0034968),1/32,0.103332094120948,0.1866033787605398,0,0,9.581608088589311,21.748403627067045,SMYD1,GO Biological Process
GO_Biological_Process_2023,Transition Metal Ion Transport (GO:0000041),1/32,0.103332094120948,0.1866033787605398,0,0,9.581608088589311,21.748403627067045,LTF,GO Biological Process
GO_Biological_Process_2023,Regulation Of Activated T Cell Proliferation (GO:0046006),1/33,0.1063856456375189,0.1886623140262476,0,0,9.281716417910449,20.797399230359275,FADD,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414),1/33,0.1063856456375189,0.1886623140262476,0,0,9.281716417910449,20.797399230359275,ACTN2,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),1/33,0.1063856456375189,0.1886623140262476,0,0,9.281716417910449,20.797399230359275,TRDN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),1/33,0.1063856456375189,0.1886623140262476,0,0,9.281716417910449,20.797399230359275,FADD,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916),1/33,0.1063856456375189,0.1886623140262476,0,0,9.281716417910449,20.797399230359275,FADD,GO Biological Process
Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,1/30,0.0971941163755111,0.1898322585459202,0,0,10.243437982501286,23.87791592101611,FGF4,Reactome Pathways
GO_Biological_Process_2023,Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070884),1/34,0.1094289509220514,0.190630645952549,0,0,9.0,19.912318113121092,C10ORF71,GO Biological Process
