Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
Human_Gene_Atlas,Tongue,7/115,1.2541913742426248e-07,1.2959977533840458e-06,0,0,21.06375227686703,334.73682277332347,SPRR3;LCE3D;MYH2;SPINK7;ADH7;SPRR2B;TRDN,Human Gene Atlas
PanglaoDB_Augmented_2021,Clara Cells,7/113,1.111450078352812e-07,1.9728238890762416e-06,0,0,21.463346736776987,343.6803395774017,PIGR;SLC34A2;BPIFA1;BPIFB1;SCGB3A1;ADH7;MUC5B,PanglaoDB
Reactome_2022,Keratinization R-HSA-6805567,9/208,3.4690468492351564e-08,2.1681542807719727e-06,0,0,15.126224342049229,259.8201434525976,SPRR2F;SPRR3;LCE3D;SPRR2G;SPINK6;KRT2;KRT24;SPRR2B;RPTN,Reactome Pathways
GO_Cellular_Component_2023,Muscle Myosin Complex (GO:0005859),4/14,1.1920688421339993e-07,3.2583215018329313e-06,0,0,124.5125,1985.0287437157128,MYH2;MYL1;MYH8;MYH7,GO Cellular Component
GO_Cellular_Component_2023,Myosin Filament (GO:0032982),4/15,1.621396359670757e-07,3.323862537325051e-06,0,0,113.1875,1769.664821735429,MYH1;MYH2;MYH8;MYH7,GO Cellular Component
GO_Biological_Process_2023,Sarcomere Organization (GO:0045214),5/29,4.3600051786859435e-08,3.582470921820283e-06,0,0,65.83333333333333,1115.7569936723246,CSRP3;ANKRD1;TCAP;LMOD2;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),5/31,6.205506818374838e-08,3.824143576823494e-06,0,0,60.76312576312576,1008.3788769505026,TNNC1;MYL2;ANKRD1;TCAP;MYH7,GO Biological Process
GO_Biological_Process_2023,Actin-Myosin Filament Sliding (GO:0033275),4/12,5.9250691261669034e-08,3.824143576823494e-06,0,0,155.65625,2590.3516772270473,MYH2;MYL1;MYH8;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Contraction (GO:0060048),5/33,8.622634593552894e-08,4.723287616246195e-06,0,0,56.4172335600907,917.6990859604076,CSRP3;TNNC1;MYL2;TCAP;MYH7,GO Biological Process
GO_Biological_Process_2023,Cardiac Myofibril Assembly (GO:0055003),4/15,1.621396359670757e-07,7.99348405317683e-06,0,0,113.1875,1769.664821735429,CSRP3;MYL2;NRAP;TCAP,GO Biological Process
CellMarker_2024,Contractile Smooth Muscle Cell Aorta Mouse,4/16,2.1563393383743657e-07,1.4124022666352096e-05,0,0,103.75,1592.5296753394375,MYH1;MYH2;DES;MYH7,CellMarker
GO_Biological_Process_2023,Epidermis Development (GO:0008544),6/85,4.367435703039008e-07,1.8722433053680655e-05,0,0,24.319722335647203,356.1360588140758,FLG2;SPRR2F;SPRR3;SPRR2G;KRT2;SPRR2B,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Contraction (GO:0003009),4/19,4.557184516108882e-07,1.8722433053680655e-05,0,0,82.9875,1211.7329064671835,TNNC1;MYH8;TCAP;MYH7,GO Biological Process
Cancer_Cell_Line_Encyclopedia,RH41 SOFT TISSUE,10/311,9.371636808559121e-08,2.3850815677782957e-05,0,0,11.24470156948104,181.97292652601183,MYOG;CHRND;CSRP3;C10ORF71;ACTC1;DES;MYL1;MYH8;ASB5;STATH,Cancer Cell Line Encyclopedia
PanglaoDB_Augmented_2021,Ionocytes,6/107,1.7022383284218771e-06,2.4171784263590657e-05,0,0,19.00127754710955,252.4047340561556,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7;SHANK2,PanglaoDB
KEGG_2021_Human,Dilated cardiomyopathy,6/96,8.990837685169573e-07,3.476457238265568e-05,0,0,21.335483870967742,297.03025159351245,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
KEGG_2021_Human,Hypertrophic cardiomyopathy,6/90,6.13538860194074e-07,3.476457238265568e-05,0,0,22.86635944700461,327.08091391776514,ACTC1;DES;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
KEGG_2021_Human,Cardiac muscle contraction,6/87,5.016037182758686e-07,3.476457238265568e-05,0,0,23.7168458781362,344.0236509399057,ACTC1;TNNC1;MYL2;CACNA1S;TRDN;MYH7,KEGG Pathways
Cancer_Cell_Line_Encyclopedia,SNUC2A LARGE INTESTINE,6/80,3.04095477731656e-07,5.1594866055137627e-05,0,0,25.969485614646903,389.6961303965052,SPRR3;LCE3D;MYBPC1;BPIFB1;MUC5B;RPTN,Cancer Cell Line Encyclopedia
