feature,cindex_deviation,stability
CNV_AAA5,0.06442693211668737,
CNV_AAA1,0.046937646896170304,
CNV_AAA6,0.045831605143094145,
CNV_AAA7,0.04486381860915245,
CNV_AAA9,0.041891331397760245,
CNV_AAA3,0.040716162035116854,
CNV_AAA4,0.038227568090695385,
CNV_AAA2,0.03815844048112815,
CNV_AAA14,0.031729572791372895,
CNV_AAA8,0.027512788607769956,
CNV_AAA13,0.020669155260611083,
CNV_AAA11,0.020669155260611083,
CNV_AAA18,0.01977049633623673,
CNV_AAA10,0.019632241117102156,
CNV_AAA12,0.017143647172680798,
CNV_AAA17,0.01638324346744091,
CNV_AAA15,0.008710078805474919,
CNV_AAA20,0.008087930319369607,
CNV_AAA19,0.0028342319922576853,
CNV_AAA16,0.0013134245817779666,
